"Polygon.ID","Binomial","Maps.Exist","PN.Ranges.Restricted","Present.Natural","Present.Globally","Present.Regionally","Present.Locally","Bio.Region","BRU"
"Africa_114","Atherurus_africanus","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Atilax_paludinosus","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Bdeogale_nigripes","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Caracal_aurata","Yes","No",1,1,1,0,"Africa","Cameroon"
"Africa_114","Cephalophus_dorsalis","Yes","No",1,1,1,0,"Africa","Cameroon"
"Africa_114","Cephalophus_ogilbyi","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Cephalophus_silvicultor","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Civettictis_civetta","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Cricetomys_emini","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Crossarchus_platycephalus","Yes","No",1,1,1,0,"Africa","Cameroon"
"Africa_114","Herpestes_naso","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Hyemoschus_aquaticus","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Loxodonta_africana","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Mandrillus_leucophaeus","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Mellivora_capensis","Yes","No",1,1,1,0,"Africa","Cameroon"
"Africa_114","Neotragus_batesi","Yes","No",1,1,1,0,"Africa","Cameroon"
"Africa_114","Pan_troglodytes","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Panthera_pardus","Yes","No",1,1,1,0,"Africa","Cameroon"
"Africa_114","Phataginus_tricuspis","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Philantomba_monticola","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Potamochoerus_porcus","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Smutsia_gigantea","Yes","No",1,1,1,0,"Africa","Cameroon"
"Africa_114","Syncerus_caffer","Yes","No",1,1,1,0,"Africa","Cameroon"
"Africa_114","Thryonomys_swinderianus","Yes","No",1,1,1,1,"Africa","Cameroon"
"Africa_114","Tragelaphus_scriptus","Yes","No",1,1,1,0,"Africa","Cameroon"
"Africa_114","Tragelaphus_spekii","Yes","No",1,1,1,0,"Africa","Cameroon"
"Africa_116","Atherurus_africanus","Yes","No",1,1,1,1,"Africa","Gabon"
"Africa_116","Atilax_paludinosus","Yes","No",1,1,1,1,"Africa","Gabon"
"Africa_116","Bdeogale_nigripes","Yes","No",1,1,1,1,"Africa","Gabon"
"Africa_116","Caracal_aurata","Yes","No",1,1,1,1,"Africa","Gabon"
"Africa_116","Cephalophus_callipygus","Yes","No",1,1,1,1,"Africa","Gabon"
"Africa_116","Cephalophus_dorsalis","Yes","No",1,1,1,0,"Africa","Gabon"
"Africa_116","Cephalophus_leucogaster","Yes","No",1,1,1,1,"Africa","Gabon"
"Africa_116","Cephalophus_nigrifrons","Yes","No",1,1,1,1,"Africa","Gabon"
"Africa_116","Cephalophus_ogilbyi","Yes","No",1,1,1,1,"Africa","Gabon"
"Africa_116","Cephalophus_silvicultor","Yes","No",1,1,1,1,"Africa","Gabon"
"Africa_116","Civettictis_civetta","Yes","No",1,1,1,1,"Africa","Gabon"
"Africa_116","Cricetomys_emini","Yes","No",1,1,1,1,"Africa","Gabon"
